candidate_name,status,official_host_events_exact_fragment,notes
Surfrider Foundation,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Sustainability,generic_token_not_an_entity,0,Too generic to treat as an organization.
Sustainability Network (EESN),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Sustainability at Harvard University,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Sustainable Entertainment Alliance,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Sustainable Shipping Initiative,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Sylvera,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Systemiq,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Taiwan Green Energy for Charity Association (TGECA),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Taylor Geospatial,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
The 5 Gyres Institute,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
The Bee Conservancy at Queens Public Library (QPL),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Circular Value Institute,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Climate Chain Reaction - Founder,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Climate Guys,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Conference Board,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Degrees Initiative,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
The Educated Choices Program,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Environmental Justice Oral History Project,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Frontline Resource Institute at Environmental Defense Fund,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Green Launchpad,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Independent,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The International Foundation for the Displaced (IFD),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Living Table,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Nature Conservancy,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Nest Campus,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The New York Climate Exchange,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Parking Reform Network,official_host_name,4,Appears as official host fragment on 4 event(s); not automatically a prospect.
The Pulitzer Center,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Rockefeller Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The Salata Institute for Climate,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The U.S. Conference of Mayors,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
The YEARS Project,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Thirst Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Tractor Beam & BEAM,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Trillium Asset Management,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
U.S. Green Building Council,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
UNEP,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
UPROSE,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
US Aluminum Association,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
US Sustainable Investment Forum & Food Systems for the Future Institute (kindly,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Union of Concerned Scientists,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
United Nations Department of Global Communications,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
United Nations Development Programme,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
United Nations Environment Programme,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
United Nations Global Compact,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
United Nations Global Compact Network USA,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
United Nations Office for Partnerships,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Urban Future Lab (UFL),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Urban Indigenous Collective,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
WBCSD,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
WE ACT for Environmental Justice,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
WICE Foundation in partnership with the Central African Forest Commission (COMIF,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
WIEGO (Women in Informal Employment,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
WILDCOAST,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
WXY architecture + urban design,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Wallet Max™,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Walton Family Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Waterfront Committees,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
WeTheAtlas,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
White & Case,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Why Regenerative,official_host_name,5,Appears as official host fragment on 5 event(s); not automatically a prospect.
Wild Tomorrow,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Willdan Clean Energy Academy,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Working Horizons,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
World Intellectual Property Organization,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
World Wildlife Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
World Wildlife Fund (WWF),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Wythe Futures,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Zacua Ventures,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
featuring SpatiaFi,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
iMasons Climate Accord,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
the Business Council for Sustainable Energy,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
the Carbon Leadership Forum NYC,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
the Global Climate Change-Homelessness Network,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
the Hopkins Population Center,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
the NYC Mayor’s Office,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
the New York Restoration Project,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
the William H. Gates Sr. Institute for Population,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
​The Abdul Latif Jameel Water,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
50 Shades of Green,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
ASC,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
American Clean Power Association,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Apolitical,has_corrected_profile,0,See company-research.csv
Aquaculture Stewardship Council (ASC),unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Audubon,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
BCG,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Bloomberg New Energy Finance,has_corrected_profile,0,See company-research.csv
BlueGreen Alliance (BGA),unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Bluegreen Alliance,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Boston Consulting Group,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
CCIP Ltd,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Center for Climate & Security,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Cheerful Twentyfirst,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
China Renewable Energy Industry Association,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Clean Air Fund,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Climate and Clean Air Coalition,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
ClimateWorks Foundation,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
CoreWeave,has_corrected_profile,0,See company-research.csv
Cornell University,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Daikin,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Daikin U.S. Corporation,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Dialogue Earth,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Earthshot Prize,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Elemental Impact,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Ellen MacArthur Foundation,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Ember,has_corrected_profile,0,See company-research.csv
Environment and Health (UNU-INWEH),unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Environmental Law Institute,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Fair Trade USA,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Federation of American Scientists,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Fortescue,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Fossil Fuel Treaty,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
French Ministry of Foreign Affairs,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Harvard C-CHANGE,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
HiImpact,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Hydro Quebec-1,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
IEA,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Industrial Deep Decarbonization Initiative (IDDI),unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Italy,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
JCDecaux,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
L'Oréal Groupe,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
LOreal Groupe,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Maryland Department of Environment,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
NYC Tourism and Conventions,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
New York State Office of General Services,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Newsweek,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Newton,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Nike,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
PG&E,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Pernod Ricard,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Pfizer,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Philanthropist,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Polecat,has_corrected_profile,0,See company-research.csv
Port of Long Beach,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Princeton Digital Group,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Project Syndicate,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
ResponsibleSteel,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Reuters,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Reuters Plus,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Rockwell Automation,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Salesforce,has_corrected_profile,0,See company-research.csv
Siemens,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Spark Climate Solutions,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
State of California,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Sustainable Energy for All,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Sweden,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
TIME,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
TNFD,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Takeda,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
The Global Methane Hub,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
The Pew Charitable Trusts,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Third Act,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Three Cairns Group,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Tilt Collective,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Trane Technologies,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Trust for America’s Health,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
U.S. Senate,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
UL Solutions,has_corrected_profile,0,See company-research.csv
UNOPS,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Unilever,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
United Nations World Food Programme,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Voltera,has_corrected_profile,0,See company-research.csv
Wellcome Trust,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Wood Mackenzie,has_corrected_profile,0,See company-research.csv
Zero Waste Foundation,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
